id,first_name,last_name,email,gender,age,country,city,phone_number,job_title,department,salary,hire_date,is_active,performance_score
167,Alexander,Love,kevin80@yahoo.com,Female,34,Lao People's Democratic Republic,North Gary,8651507834,Multimedia programmer,streamline,93370.51,2023-11-13,True,2.35
168,Gabriel,Robinson,millscourtney@sweeney.com,Male,20,Falkland Islands (Malvinas),Lake Carla,419-921-7075x46208,"Editor, commissioning",iterate,34729.8,2018-12-09,False,1.02
169,Kevin,Clements,hallashley@fischer.org,Non-Binary,18,Finland,Aliciastad,(178)112-2563,Solicitor,morph,42636.63,2021-07-31,False,3.72
170,Jonathan,Baxter,davidrobert@johnston.biz,Non-Binary,43,Kuwait,Lake Corymouth,+1-262-680-5644x2197,Sports coach,redefine,80199.17,2018-10-07,True,2.81
171,Ann,Flynn,seancummings@ortiz.com,Female,56,Vanuatu,Angelaview,8546203943,Product/process development scientist,envisioneer,39210.5,2022-11-04,True,4.18
172,Samuel,Vazquez,ericarichardson@baxter.biz,Female,52,Macao,Arianaland,306-645-3839x99073,"Engineer, land",empower,71016.99,2023-03-27,False,2.02
173,Jesse,Miller,osanders@thomas.com,Non-Binary,20,Palau,New Jamesfort,(195)175-3990x1573,Insurance claims handler,envisioneer,47111.86,2016-09-18,True,1.84
174,Mia,Morrison,jharris@chandler.com,Non-Binary,40,Albania,Joneschester,+1-521-995-7937x6024,"Horticulturist, amenity",incubate,46900.65,2022-12-21,True,2.01
175,Sarah,Lawrence,ruizjennifer@hotmail.com,Non-Binary,65,Mexico,Sharonland,+1-436-757-2751x4939,Control and instrumentation engineer,repurpose,57118.92,2016-12-08,False,2.02
176,Gregory,Smith,aramirez@hotmail.com,Female,63,Uganda,Bellchester,0036106793,Commercial horticulturist,empower,51596.58,2023-08-17,False,4.74
177,Catherine,Jones,samuelfritz@gmail.com,Male,18,Uganda,East Danielle,+1-007-752-1090,Banker,whiteboard,71483.8,2020-01-20,False,1.19
178,Kristen,Snyder,christopherhardy@boyd.net,Female,49,Philippines,New Zachary,832-251-1466x8482,Clinical psychologist,disintermediate,71446.05,2018-09-23,True,1.34
179,Lisa,Ortiz,sarah95@goodwin.com,Male,24,Angola,Port Margaret,144-701-6344,"Therapist, art",expedite,104363.86,2024-10-26,True,2.66
180,David,Cox,brian64@yahoo.com,Male,46,Fiji,East Tracybury,165.812.2938,Chartered management accountant,envisioneer,85148.1,2021-08-21,False,3.24
181,Jason,Vargas,cwagner@bell.com,Female,20,Guam,Port Pennyville,665-325-6684x33163,"Education officer, museum",aggregate,116302.47,2021-12-26,True,2.96
182,Debra,Bullock,diazfrank@perry-evans.com,Male,35,Gibraltar,Rodgersmouth,+1-272-685-5102x55314,Medical laboratory scientific officer,re-intermediate,114101.48,2023-01-04,False,4.98
183,Monique,Hester,gibsoncameron@harris.org,Male,53,Congo,Nathanport,001-405-905-2616x827,Publishing copy,incubate,110966.31,2021-12-07,True,3.84
184,Andrew,Owens,aliciacraig@garcia-anderson.info,Female,50,Montserrat,Ashleytown,+1-093-292-7273,"Administrator, arts",deliver,84420.29,2023-07-26,False,2.09
185,Nicole,Price,christina81@gmail.com,Male,25,Montserrat,South Toddfort,630-056-7399x083,Tax adviser,revolutionize,85338.45,2018-03-20,True,1.69
186,Kristen,Ferguson,nharrell@barajas.biz,Female,33,Cuba,New Sarahfurt,(687)146-5565,Paramedic,repurpose,49625.82,2019-02-07,True,3.97
187,Sara,Richardson,alexander63@coleman.biz,Non-Binary,45,Ghana,North Jamieport,341-323-9654,"Designer, graphic",incentivize,107318.62,2017-10-17,True,2.54
188,Todd,Howell,megan43@shah.com,Female,25,Gambia,East Kim,(457)762-9734x6670,"Lighting technician, broadcasting/film/video",productize,117403.45,2016-05-23,False,1.92
189,Marcus,Diaz,boltonmarie@hotmail.com,Non-Binary,63,Finland,Cindymouth,+1-715-768-0685x0509,"Psychotherapist, dance movement",deliver,79197.38,2016-07-24,False,1.89
190,Tanya,Robertson,ginawagner@dunn.com,Male,22,Guadeloupe,South Ginaberg,909.996.4749x83423,"Engineer, control and instrumentation",synthesize,76633.8,2020-03-01,False,1.93
191,Lisa,Lopez,bryancruz@gmail.com,Non-Binary,48,Switzerland,Port Patrick,(749)114-3005,Chartered loss adjuster,grow,55814.79,2023-12-08,True,1.55
192,Nicholas,Walker,escobarmark@yahoo.com,Male,53,Heard Island and McDonald Islands,New Tiffanyberg,+1-799-685-4822x121,Furniture designer,integrate,75436.47,2024-02-28,False,3.34
193,Sandy,Chandler,halekrystal@hotmail.com,Male,26,Mozambique,Johnsonborough,+1-606-698-8311,Leisure centre manager,deploy,108915.65,2019-03-17,True,4.9
194,Trevor,Thompson,xkramer@gmail.com,Non-Binary,22,Syrian Arab Republic,West Katherinemouth,(840)172-7482,"Designer, jewellery",benchmark,42202.27,2019-08-29,True,4.13
195,Sarah,Parks,zjohnson@gomez.com,Female,54,Taiwan,Gibbsfort,001-998-199-9740x5871,"Surveyor, mining",drive,99052.85,2021-11-17,True,1.94
196,Bob,Frank,elizabeth25@walker-poole.net,Male,32,Svalbard & Jan Mayen Islands,West Sandrashire,376.995.6673x270,"Engineer, agricultural",integrate,98396.99,2018-04-10,False,3.43
197,Dan,Stone,abbottjacob@martin.com,Male,58,Italy,Williambury,+1-701-138-1181x91024,"Programmer, systems",benchmark,74861.94,2020-07-21,True,3.46
198,Mary,Cunningham,joshua27@murphy.com,Male,51,Dominican Republic,Lake Christine,(760)929-0410x6023,Industrial/product designer,optimize,83651.31,2025-05-15,False,2.82
199,Shannon,Kim,joshuachambers@hotmail.com,Male,32,Guinea,Simmonstown,+1-019-977-3780x43035,Risk manager,empower,79997.02,2021-10-19,True,3.64
200,Heather,Sanchez,andres10@robinson.org,Female,65,Saint Helena,New Peterborough,(777)391-8821,Licensed conveyancer,e-enable,73282.36,2019-12-22,False,3.82
201,Jennifer,Hamilton,deanrodriguez@gmail.com,Male,34,Uzbekistan,West Johnny,1287421139,Risk analyst,incentivize,42369.98,2023-04-05,False,3.81
202,James,Marks,hancockroger@gmail.com,Female,36,Afghanistan,Newmanshire,+1-292-658-8335x397,Arts administrator,revolutionize,64568.31,2023-06-15,True,1.83
203,Bobby,Morris,anthonymckenzie@yahoo.com,Female,64,Serbia,New Kristifurt,982-307-1374x9440,Video editor,seize,97236.49,2017-02-10,True,2.37
204,Alexis,Johnson,hernandezbrian@yahoo.com,Female,60,Georgia,North Lorrainebury,001-905-599-7089,Ranger/warden,drive,95321.82,2016-01-01,True,2.04
205,John,Bell,robertfoster@gmail.com,Non-Binary,28,Ethiopia,Port Kent,+1-064-300-9279x239,Land/geomatics surveyor,monetize,57441.22,2016-11-19,False,3.29
206,William,Robinson,kirkbarbara@hotmail.com,Male,64,Equatorial Guinea,Lake Kurt,446.711.6323x45877,Water engineer,re-contextualize,86739.4,2024-10-11,False,1.09
207,Sean,Peterson,lcollins@collier.com,Non-Binary,21,Vietnam,Lake Heatherbury,+1-658-117-4770,Insurance broker,incubate,32210.82,2023-08-16,True,1.05
208,David,Fernandez,pknight@perez.com,Non-Binary,38,Israel,Douglasfurt,262.305.7715x492,Human resources officer,integrate,35989.06,2020-07-13,True,2.38
209,Jose,Miller,lburgess@gordon-smith.com,Non-Binary,45,Guyana,West Linda,438.064.4641,Barrister,implement,42226.57,2025-02-03,True,2.8
210,Aaron,Cummings,ethantucker@gmail.com,Male,40,Palau,Larsonport,+1-351-332-2487,Information officer,grow,58075.66,2021-05-25,False,3.91
211,Jamie,Murray,kathrynprice@bailey.info,Non-Binary,44,Philippines,Lake Ryan,639.049.8079x069,"Therapist, speech and language",re-contextualize,64440.15,2015-10-26,False,4.56
212,Candice,Orozco,nelsontammy@evans.com,Non-Binary,52,Sao Tome and Principe,Lake Samantha,297.657.8291,Heritage manager,grow,102414.05,2020-09-22,False,4.04
213,Traci,Wright,vvelazquez@gmail.com,Non-Binary,25,Turkey,Trevorville,(244)232-5583,Farm manager,benchmark,66804.04,2018-11-16,False,1.69
214,Amy,Huff,nharrison@payne-park.com,Non-Binary,26,British Indian Ocean Territory (Chagos Archipelago),Moodyview,112-378-2072x87203,"Embryologist, clinical",aggregate,85965.96,2021-07-03,True,1.32
215,Kimberly,Collins,marcus46@gmail.com,Male,29,Portugal,Hullmouth,001-561-102-8953,Agricultural consultant,evolve,52211.48,2020-10-13,True,4.83
216,Ronald,Carter,pbrown@yahoo.com,Male,65,Reunion,Robertmouth,1105920494,Tourist information centre manager,iterate,100891.33,2024-05-03,True,3.87
217,Lauren,Jacobson,dillonwest@montoya-montoya.com,Female,56,Belgium,Juliefurt,546-530-6251x23827,Insurance risk surveyor,benchmark,39329.26,2023-01-24,False,3.84
218,Amber,Santos,lynchcatherine@yahoo.com,Non-Binary,56,Norfolk Island,Paynemouth,+1-300-496-2339,Patent examiner,cultivate,33604.39,2016-05-31,False,4.22
219,Joy,Frost,allendarius@banks.com,Non-Binary,42,Cape Verde,West Richard,(159)156-1850x10440,"Doctor, general practice",transform,32454.05,2020-05-26,True,2.99
220,George,Douglas,claytonperry@lawrence-black.net,Female,36,Puerto Rico,Port Aaron,072-359-0188,Freight forwarder,exploit,90448.09,2021-03-12,False,1.94
221,Ronald,Rojas,oconnoryolanda@hotmail.com,Female,28,French Southern Territories,Franklinfort,001-400-721-0343x183,"Engineer, aeronautical",deliver,96194.97,2020-07-28,False,2.35
222,Linda,Ford,rlewis@gmail.com,Female,43,Romania,West Judith,308-668-5324x1205,Arts administrator,enable,31330.55,2017-06-06,False,3.2
223,Daniel,Williams,nvalencia@johnson-garcia.org,Male,52,Saint Lucia,Port Jesustown,001-744-992-8965,Civil Service fast streamer,leverage,81344.94,2018-01-09,False,4.74
224,Thomas,Smith,jeff44@washington-drake.com,Male,47,Faroe Islands,Mcculloughport,398.616.6315x930,"Restaurant manager, fast food",innovate,65555.87,2022-06-26,True,2.62
225,Michael,Higgins,urodriguez@yahoo.com,Female,21,Jersey,Joshuaview,(922)012-0595x8763,Oncologist,streamline,31861.54,2024-02-15,True,2.02
226,Patrick,Sandoval,mhudson@hotmail.com,Non-Binary,55,Bouvet Island (Bouvetoya),West George,+1-898-642-9146x46907,"Engineer, energy",mesh,93243.81,2015-10-14,False,4.98
227,Karen,Leonard,russellkaren@hotmail.com,Male,51,Hong Kong,Jenniferfurt,500.198.6165,English as a foreign language teacher,facilitate,76463.49,2021-11-04,False,4.91
228,Dylan,Morgan,yolanda44@gmail.com,Female,31,Isle of Man,Walkerville,472.424.0035,"Lecturer, further education",repurpose,40439.59,2016-07-27,False,4.22
229,Joshua,Shepard,mathewrodriguez@mcdonald-fisher.com,Male,55,Wallis and Futuna,North Kim,(641)894-8276,Financial trader,disintermediate,90647.75,2021-02-28,False,1.65
230,Gregg,Robinson,dross@hotmail.com,Male,39,Bhutan,Port Melindabury,(739)540-2057,Higher education lecturer,repurpose,106159.49,2021-02-26,True,3.34
231,Harold,Haley,anthonyramos@gmail.com,Male,54,Uganda,Lambertfort,001-107-634-2977x15684,Research scientist (maths),syndicate,44055.01,2025-03-20,False,2.45
232,Sara,Miller,mckeegwendolyn@jones-garza.com,Non-Binary,36,Uzbekistan,East Kathy,+1-685-252-3762x15271,"Designer, blown glass/stained glass",facilitate,59070.22,2020-08-23,False,3.4
233,Larry,Hill,philipmarquez@adams.org,Male,18,Bouvet Island (Bouvetoya),Mikeside,(441)734-7030x1056,Customer service manager,monetize,100950.61,2017-03-24,True,2.77
234,Melissa,Mcdonald,roywang@yahoo.com,Female,18,Italy,Lanehaven,976-327-4219x2244,Health and safety inspector,transform,115374.75,2015-08-19,False,4.64
235,James,Jones,adamsdenise@yahoo.com,Non-Binary,60,Ukraine,East Jonathanborough,952.000.3107,"Chemist, analytical",monetize,100075.6,2021-08-14,True,1.28
236,Jennifer,Welch,rachelshaw@peters.com,Female,35,Tajikistan,New Kathychester,001-726-988-1292,Interpreter,re-intermediate,115480.92,2022-07-23,True,3.12
237,Paula,Hoover,zroberts@yahoo.com,Male,60,Mozambique,Masonbury,001-710-978-0555x7949,Senior tax professional/tax inspector,optimize,87545.11,2020-08-02,True,4.77
238,Margaret,Oneal,davisashley@turner.com,Non-Binary,52,Madagascar,North Jillbury,629-951-3379,"Chemist, analytical",cultivate,84454.11,2023-06-08,False,2.06
239,Nancy,Ellis,donaldtorres@hotmail.com,Female,18,Papua New Guinea,South Jeffmouth,001-260-808-3895,Airline pilot,revolutionize,68583.33,2024-06-26,False,4.79
240,Daniel,Warner,ewatson@ayers-joseph.com,Non-Binary,51,Rwanda,South Christina,524-465-3336x2643,Dispensing optician,e-enable,79910.39,2021-05-08,False,1.76
241,Rachael,Jacobs,jacob72@bender.com,Female,27,Heard Island and McDonald Islands,Cantubury,227.892.0906x20396,"Engineer, mining",syndicate,106026.75,2024-07-09,True,4.14
242,Amber,Green,timothy07@sawyer.org,Non-Binary,54,Guinea,Murphyton,390-164-3153,"Lecturer, higher education",exploit,64573.01,2022-03-25,False,4.8
243,Amy,Hall,bwashington@gonzalez-gonzalez.com,Non-Binary,44,Netherlands,North Todd,+1-662-001-1791x136,IT sales professional,empower,87299.88,2024-01-29,True,4.6
244,Brenda,Shelton,hopkinsmatthew@yahoo.com,Female,51,Angola,Brianton,(507)952-3289x9247,Psychiatric nurse,enable,118339.59,2018-09-26,True,3.72
245,Isabel,Guerrero,adamsthomas@smith.com,Non-Binary,40,United States Virgin Islands,West Melissashire,7459164565,Mudlogger,seize,86503.36,2024-07-06,False,1.08
246,Regina,Bates,brandonramirez@yahoo.com,Non-Binary,33,Tunisia,New Julie,463.028.4264x9405,Clinical embryologist,maximize,81440.29,2021-05-28,True,2.1
247,Madeline,Mann,jenniferbrennan@gmail.com,Female,22,El Salvador,New Gabrielhaven,001-394-536-5865x5664,Facilities manager,visualize,81582.65,2017-01-04,True,3.98
248,Matthew,Stevens,fgardner@lewis-wilson.com,Female,50,Mayotte,West Williamtown,(571)936-3400,Town planner,transition,110546.33,2025-03-13,True,4.83
249,Nicole,Adams,shepardkaylee@hotmail.com,Male,46,Afghanistan,Allenfort,260-336-1141x5261,"Clinical scientist, histocompatibility and immunogenetics",architect,113120.34,2018-11-05,False,3.54
250,Sierra,Meza,foxdiane@hotmail.com,Female,34,Falkland Islands (Malvinas),New James,397-319-5094,Drilling engineer,productize,69349.49,2024-08-24,False,3.44
